startDateTime,endDateTime,priPrecipBulk,priPrecipNumPts,priPrecipExpUncert,priPrecipFinalQF
"2020-01-01T00:00:00Z","2020-01-01T00:30:00Z",0.040,6.000,0.002,0
"2020-01-01T00:30:00Z","2020-01-01T01:00:00Z",0.080,6.000,0.003,0
"2020-01-01T01:00:00Z","2020-01-01T01:30:00Z",0.030,6.000,0.001,0
"2020-01-01T01:30:00Z","2020-01-01T02:00:00Z",0.030,6.000,0.001,0
"2020-01-01T02:00:00Z","2020-01-01T02:30:00Z",0.000,6.000,0.000,0
"2020-01-01T02:30:00Z","2020-01-01T03:00:00Z",0.020,6.000,0.001,0
"2020-01-01T03:00:00Z","2020-01-01T03:30:00Z",0.000,6.000,0.000,0
"2020-01-01T03:30:00Z","2020-01-01T04:00:00Z",0.000,6.000,0.000,0
"2020-01-01T04:00:00Z","2020-01-01T04:30:00Z",0.020,6.000,0.001,0
"2020-01-01T04:30:00Z","2020-01-01T05:00:00Z",0.000,6.000,0.000,0
"2020-01-01T05:00:00Z","2020-01-01T05:30:00Z",0.000,6.000,0.000,0
"2020-01-01T05:30:00Z","2020-01-01T06:00:00Z",0.000,6.000,0.000,0
"2020-01-01T06:00:00Z","2020-01-01T06:30:00Z",0.000,6.000,0.000,0
"2020-01-01T06:30:00Z","2020-01-01T07:00:00Z",0.000,6.000,0.000,0
"2020-01-01T07:00:00Z","2020-01-01T07:30:00Z",0.000,6.000,0.000,0
"2020-01-01T07:30:00Z","2020-01-01T08:00:00Z",0.000,6.000,0.000,0
"2020-01-01T08:00:00Z","2020-01-01T08:30:00Z",0.000,6.000,0.000,0
"2020-01-01T08:30:00Z","2020-01-01T09:00:00Z",0.000,6.000,0.000,0
"2020-01-01T09:00:00Z","2020-01-01T09:30:00Z",0.020,6.000,0.001,0
"2020-01-01T09:30:00Z","2020-01-01T10:00:00Z",0.000,6.000,0.000,0
"2020-01-01T10:00:00Z","2020-01-01T10:30:00Z",0.000,6.000,0.000,0
"2020-01-01T10:30:00Z","2020-01-01T11:00:00Z",0.000,6.000,0.000,0
"2020-01-01T11:00:00Z","2020-01-01T11:30:00Z",0.000,6.000,0.000,0
"2020-01-01T11:30:00Z","2020-01-01T12:00:00Z",0.000,6.000,0.000,0
"2020-01-01T12:00:00Z","2020-01-01T12:30:00Z",0.000,6.000,0.000,0
"2020-01-01T12:30:00Z","2020-01-01T13:00:00Z",0.000,6.000,0.000,0
"2020-01-01T13:00:00Z","2020-01-01T13:30:00Z",0.000,6.000,0.000,0
"2020-01-01T13:30:00Z","2020-01-01T14:00:00Z",0.000,6.000,0.000,0
"2020-01-01T14:00:00Z","2020-01-01T14:30:00Z",0.000,6.000,0.000,0
"2020-01-01T14:30:00Z","2020-01-01T15:00:00Z",0.000,6.000,0.000,0
"2020-01-01T15:00:00Z","2020-01-01T15:30:00Z",0.000,6.000,0.000,0
"2020-01-01T15:30:00Z","2020-01-01T16:00:00Z",0.000,6.000,0.000,0
"2020-01-01T16:00:00Z","2020-01-01T16:30:00Z",0.000,6.000,0.000,0
"2020-01-01T16:30:00Z","2020-01-01T17:00:00Z",0.070,6.000,0.003,0
"2020-01-01T17:00:00Z","2020-01-01T17:30:00Z",0.060,6.000,0.002,0
"2020-01-01T17:30:00Z","2020-01-01T18:00:00Z",0.050,6.000,0.002,0
