Category,ID,Latitude,Longitude,Date,MODIS_Tile,MCD15A2H_006_Line_Y_500m,MCD15A2H_006_Sample_X_500m,MCD15A2H_006_LaiStdDev_500m,MCD15A2H_006_Lai_500m,MCD15A2H_006_FparLai_QC,MCD15A2H_006_FparExtra_QC,MCD15A2H_006_FparLai_QC_bitmask,MCD15A2H_006_FparLai_QC_MODLAND,MCD15A2H_006_FparLai_QC_MODLAND_Description,MCD15A2H_006_FparLai_QC_Sensor,MCD15A2H_006_FparLai_QC_Sensor_Description,MCD15A2H_006_FparLai_QC_DeadDetector,MCD15A2H_006_FparLai_QC_DeadDetector_Description,MCD15A2H_006_FparLai_QC_CloudState,MCD15A2H_006_FparLai_QC_CloudState_Description,MCD15A2H_006_FparLai_QC_SCF_QC,MCD15A2H_006_FparLai_QC_SCF_QC_Description,MCD15A2H_006_FparExtra_QC_bitmask,MCD15A2H_006_FparExtra_QC_Cloud_Shadow,MCD15A2H_006_FparExtra_QC_Cloud_Shadow_Description,MCD15A2H_006_FparExtra_QC_SCF_Biome_Mask,MCD15A2H_006_FparExtra_QC_SCF_Biome_Mask_Description,MCD15A2H_006_FparExtra_QC_LandSea_Pass-Thru,MCD15A2H_006_FparExtra_QC_LandSea_Pass-Thru_Description,MCD15A2H_006_FparExtra_QC_Snow_Ice,MCD15A2H_006_FparExtra_QC_Snow_Ice_Description,MCD15A2H_006_FparExtra_QC_Aerosol,MCD15A2H_006_FparExtra_QC_Aerosol_Description,MCD15A2H_006_FparExtra_QC_Cirrus,MCD15A2H_006_FparExtra_QC_Cirrus_Description,MCD15A2H_006_FparExtra_QC_Internal_CloudMask,MCD15A2H_006_FparExtra_QC_Internal_CloudMask_Description
ABBY,D16,45.762439,-122.33032,2019-12-27,h09v04,1017.0,1117.0,248.0,2.9000001,81.0,72.0,0b01010001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used",0b01001000,0b1,Cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds
ABBY,D16,45.762439,-122.33032,2020-01-01,h09v04,1017.0,1117.0,248.0,0.2,75.0,48.0,0b01001011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used",0b00110000,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b1,Cirrus was detected,0b1,Clouds were detected
ABBY,D16,45.762439,-122.33032,2020-01-09,h09v04,1017.0,1117.0,0.0,0.1,0.0,68.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b01000100,0b1,Cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b1,Snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds
ABBY,D16,45.762439,-122.33032,2020-01-17,h09v04,1017.0,1117.0,248.0,0.0,73.0,32.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used",0b00100000,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b1,Clouds were detected
ABBY,D16,45.762439,-122.33032,2020-01-25,h09v04,1017.0,1117.0,0.1,0.3,10.0,32.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)",0b00100000,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b1,Clouds were detected
ABBY,D16,45.762439,-122.33032,2020-02-02,h09v04,1017.0,1117.0,1.4,3.0,18.0,72.0,0b00010010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b000,"Main (RT) method used, best result possible (no saturation)",0b01001000,0b1,Cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds
ABBY,D16,45.762439,-122.33032,2020-02-10,h09v04,1017.0,1117.0,1.3000001,2.4000001,2.0,0.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b00000000,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds
ABBY,D16,45.762439,-122.33032,2020-02-18,h09v04,1017.0,1117.0,1.2,2.7,0.0,72.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b01001000,0b1,Cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds
ABBY,D16,45.762439,-122.33032,2020-02-26,h09v04,1017.0,1117.0,1.7,2.4000001,0.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b00000000,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds
ABBY,D16,45.762439,-122.33032,2020-03-05,h09v04,1017.0,1117.0,1.3000001,2.3,2.0,0.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b00000000,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds
ABBY,D16,45.762439,-122.33032,2020-03-13,h09v04,1017.0,1117.0,0.5,2.3,0.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b00000000,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds
