ID,Site,Evergreen Forest,Grassland/ Herbaceous,Shrub/Scrub,Deciduous Forest,Mixed Forest,Pasture/Hay/Cultivated Crops,Woody Wetlands,Lat,Long,USFS Forest Biomass (mg/ha),Nearby Value,Mean Canopy Height (m)
D16,ABBY,Y,Y,Y,N,N,N,N,45.762439,-122.33032,255.554062,,34
D01,BART,Y,N,N,Y,Y,N,N,44.063889,-71.287375,152.43576,,23
D02,BLAN,N,N,N,Y,N,Y,N,39.033698,-78.041788,0,109.843414,1
D19,BONA,Y,N,N,Y,Y,N,Y,65.15401,-147.50258,29.14213,,8
D11,CLBJ,N,Y,N,Y,N,N,N,33.40123,-97.57,39.642086,,13
D19,DEJU,Y,N,Y,N,N,N,Y,63.88112,-145.75136,58.28426,,10
D08,DELA,Y,N,N,N,N,N,Y,32.541727,-87.803877,123.597664,,30
D03,DSNY,N,N,N,N,N,Y,Y,28.12505,-81.43619,0,326.964142,1.5
D07,GRSM,Y,N,N,Y,N,N,N,35.68896,-83.50195,154.07663,,30
D04,GUAN,Y,N,N,N,N,N,N,17.96955,-66.8687,117.730141,,10
D01,HARV,Y,N,N,Y,Y,N,Y,42.53691,-72.17265,134.502136,,26
D19,HEAL,Y,N,Y,N,N,N,N,63.875798,-149.21335,17.933619,,0.3
D03,JERC,Y,N,N,Y,Y,Y,N,31.194839,-84.468623,64.314301,,27
D14,JORN,N,N,Y,N,N,N,N,32.590694,-106.84254,0,,0.4
D06,KONZ,N,Y,N,Y,N,N,N,39.100774,-96.563075,0,80.049194,1.5
D08,LENO,N,N,N,Y,N,N,Y,31.853861,-88.161181,93.032616,160.748489,35
D07,MLBS,N,N,N,Y,N,N,N,37.378314,-80.524847,132.260437,,18
D07,ORNL,Y,N,N,Y,N,Y,N,35.964128,-84.282588,128.471512,,28
D03,OSBS,Y,Y,N,N,N,N,Y,29.689282,-81.993431,68.722557,,23
D20,PUUM,Y,N,N,N,N,N,N,19.55309,-155.31731,HAWAII - No Biomass Info,,20
D10,RMNP,Y,N,N,N,N,N,N,40.275903,-105.54596,38.893902,74.232368,19
D02,SCBI,Y,N,N,Y,N,Y,N,38.892925,-78.139494,156.919159,,35
D02,SERC,N,N,N,Y,N,Y,N,38.890131,-76.560014,147.952347,,38
D17,SJER,Y,Y,Y,N,N,N,N,37.10878,-119.73228,73.976173,,21
D17,SOAP,Y,N,Y,N,N,N,N,37.03337,-119.26219,235.378738,,32
D14,SRER,N,N,Y,N,N,N,N,31.91068,-110.83549,0,,2
D05,STEI,N,N,N,Y,Y,N,Y,45.50894,-89.58637,97.937225,,20
D08,TALL,Y,N,N,Y,Y,N,N,32.95047,-87.393259,91.748566,,25
D17,TEAK,Y,N,Y,N,N,N,N,37.00583,-119.00602,226.411926,,35
D05,TREE,Y,N,N,Y,Y,N,Y,45.49369,-89.58571,111.037758,,23
D06,UKFS,N,N,N,Y,N,Y,N,39.040431,-95.19215,0,"84,94",19
D05,UNDE,N,N,N,Y,Y,N,Y,46.23391,-89.537254,133.754913,,24
D16,WREF,Y,N,N,N,N,N,N,45.82049,-121.95191,378.847687,,50
D12,YELL,Y,Y,Y,N,N,N,N,44.95348,-110.53914,46.88752,,14
