Site,EF,GH,SH,DF,MF,PH,WW
ABBY,1,1,1,0,0,0,0
BART,1,0,0,1,1,0,0
BLAN,0,0,0,1,0,1,0
BONA,1,0,0,1,1,0,1
CLBJ,0,1,0,1,0,0,0
DEJU,1,0,1,0,0,0,1
DELA,1,0,0,0,0,0,1
DSNY,0,0,0,0,0,1,1
GRSM,1,0,0,1,0,0,0
GUAN,1,0,0,0,0,0,0
HARV,1,0,0,1,1,0,1
HEAL,1,0,1,0,0,0,0
JERC,1,0,0,1,1,1,0
JORN,0,0,1,0,0,0,0
KONZ,0,1,0,1,0,0,0
LENO,0,0,0,1,0,0,1
MLBS,0,0,0,1,0,0,0
ORNL,1,0,0,1,0,1,0
OSBS,1,1,0,0,0,0,1
PUUM,1,0,0,0,0,0,0
RMNP,1,0,0,0,0,0,0
SCBI,1,0,0,1,0,1,0
SERC,0,0,0,1,0,1,0
SJER,1,1,1,0,0,0,0
SOAP,1,0,1,0,0,0,0
SRER,0,0,1,0,0,0,0
STEI,0,0,0,1,1,0,1
TALL,1,0,0,1,1,0,0
TEAK,1,0,1,0,0,0,0
TREE,1,0,0,1,1,0,1
UKFS,0,0,0,1,0,1,0
UNDE,0,0,0,1,1,0,1
WREF,1,0,0,0,0,0,0
YELL,1,1,1,0,0,0,0
